,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
217,Gambel oak - bigtooth maple forest with prescribed fire,0.102393,0.033448,0.120823,0.039476,1.129315,0.37296,0.022045,0.37296,0.018666,0.006157,0.010507,0.003328,0.268299,0.088473,482240.8265,482240.8265,10.09254434,2.829821982
218,Gambel oak / Sagebrush shrubland,0.069938,0.027341,0.082526,0.032263,0.77012,0.294209,0.015191,0.294209,0.012741,0.004884,0.007207,0.003011,0.183002,0.070141,332818.3571,332818.3571,,
219,Ponderosa pine - White fir / Trembling aspen forest,0.379416,0.201123,0.447701,0.23733,4.536202,2.412022,0.046493,2.412022,0.074157,0.039412,0.029373,0.015371,1.065925,0.566558,882450.9725,882450.9725,14.04834163,5.792141678
221,Wheatgrass - Ryegrass grassland,0.045678,0.006976,0.053899,0.008232,0.567668,0.083712,0.003426,0.083712,0.009235,0.001371,0.002953,0.000531,0.132722,0.019658,60985.46806,60985.46806,,
224,Trembling aspen forest,0.297229,0.151013,0.350731,0.178189,3.355171,1.756469,0.05631,1.756469,0.05526,0.028821,0.028436,0.013034,0.794534,0.414251,1184466.841,1184466.841,19.82029766,7.501768596
226,White fir - Gambel oak forest,0.378253,0.117931,0.446326,0.13916,4.404557,1.347211,0.05815,1.347211,0.072252,0.02216,0.03251,0.010843,1.038622,0.318512,1169700.805,1169700.805,18.54117181,7.072417367
227,White fir forest,0.31138,0.176546,0.367433,0.208326,3.664133,2.114556,0.044024,2.114556,0.060018,0.034554,0.025711,0.013569,0.862826,0.496766,862997.641,862997.641,16.5151722,6.106033632
230,Pinyon - Juniper forest with prescribed fire,0.048359,0.016137,0.057072,0.019043,0.534561,0.180793,0.010292,0.180793,0.00883,0.002983,0.004931,0.001583,0.126967,0.042861,224886.4331,224886.4331,4.839455522,1.162877626
231,Gambel oak - Juniper - Ponderosa pine forest,0.209915,0.128688,0.247696,0.151851,2.438951,1.478339,0.032825,1.478339,0.040025,0.024297,0.018188,0.01161,0.575293,0.349244,670827.2156,670827.2156,,
232,Mesquite savanna,0.009445,0.00864,0.011142,0.010197,0.096085,0.087842,0.002846,0.087842,0.00161,0.001473,0.001185,0.001091,0.023101,0.021115,64971.55871,64971.55871,1.151776242,1.055712785
235,Idaho fescue - Bluebunch wheatgrass grassland,0.014454,0.014448,0.017056,0.017039,0.146801,0.146738,0.004366,0.146738,0.002454,0.002451,0.001826,0.001829,0.035295,0.035277,99880.13108,99880.13108,1.771756177,1.77097499
236,Tobosa - Grama grassland,0.001499,0.001492,0.001766,0.001757,0.015214,0.015217,0.000439,0.015217,0.000248,0.000252,0.000185,0.000189,0.003656,0.003654,10202.29241,10202.29241,0.180705705,0.180705705
237,Vaccinium - Heather shrubland,0.030289,0.030185,0.035734,0.035624,0.30791,0.306909,0.009139,0.306909,0.005143,0.005135,0.003831,0.003813,0.074025,0.073783,208795.2891,208795.2891,3.702609244,3.690512627
238,Pacific silver fir - Mountain hemlock forest,0.767358,0.343887,0.905487,0.405793,9.454765,4.234088,0.065934,4.234088,0.153961,0.068946,0.05176,0.023277,2.213057,0.991153,957684.0289,957684.0289,11.88181878,5.475842596
240,Saw palmetto / Three-awned grass shrubland,0.217897,0.096398,0.257134,0.113742,2.576385,1.057578,0.029598,1.057578,0.042175,0.017495,0.017665,0.010055,0.606293,0.251447,600377.002,600377.002,8.091987281,8.034893981
