,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
0,Agriculture or Developed,0.088977,0.045327,0.104986,0.053483,1.02481,0.482185,0.014809,0.482185,0.016842,0.008011,0.007943,0.005136,0.242017,0.115145,307910.5053,307910.5053,4.920731939,4.485444901
1,Black cottonwood - Douglas-fir - Quaking aspen,0.3766,0.153954,0.44438,0.181671,4.360343,1.831058,0.060401,1.831058,0.071574,0.029953,0.033047,0.012184,1.028982,0.430569,1199711.804,1199711.804,19.6976868,5.651472623
2,Western hemlock - Western redcedar - Douglas-fir forest,1.096013,0.519802,1.293288,0.613373,13.359889,6.313482,0.108625,6.313482,0.217842,0.102986,0.077873,0.037549,3.13145,1.480515,1627603.156,1627603.156,24.1206144,12.56597972
4,Douglas-fir / Ceanothus forest,0.595513,0.489074,0.702702,0.577109,7.193358,5.906724,0.065607,5.906724,0.117432,0.096425,0.044102,0.036248,1.688049,1.386146,1088979.901,1088979.901,16.36138869,13.48428879
5,Douglas-fir - White fir forest,0.443715,0.233567,0.523603,0.275606,5.069074,2.677268,0.078035,2.677268,0.083369,0.044006,0.040806,0.021228,1.198428,0.632666,1614606.414,1614606.414,26.60499978,13.55700844
6,Oregon white oak - Douglas-fir forest,0.179249,0.085403,0.211513,0.100767,2.023867,0.97662,0.033926,0.97662,0.033336,0.01606,0.017144,0.007825,0.479254,0.230857,710473.4715,710473.4715,11.93233261,5.069947879
7,Douglas-fir - Sugar pine - Tanoak forest,0.566459,0.328119,0.66842,0.387182,6.751394,3.981703,0.071532,3.981703,0.110405,0.064957,0.044437,0.023797,1.587115,0.93382,1281838.248,1281838.248,20.07672007,8.111585724
8,Western hemlock - Douglas-fir - Western redcedar / Vine maple forest,1.843928,1.609307,2.175834,1.89898,22.642198,19.892239,0.166146,19.892239,0.368839,0.323774,0.126488,0.10681,5.302126,4.654223,2420419.161,2420419.161,32.37354332,21.7560086
9,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest,0.779637,0.489192,0.919984,0.577241,9.464573,5.95008,0.081166,5.95008,0.154399,0.097046,0.056462,0.035106,2.219592,1.395036,1319457.424,1319457.424,19.08935558,11.40964828
10,Western hemlock - Douglas-fir - Sitka spruce forest,1.640742,1.396398,1.936083,1.647754,20.036922,17.234963,0.158892,17.234963,0.326634,0.280571,0.115561,0.093382,4.695362,4.033264,2530354.473,2530354.473,34.27366738,20.14976189
11,Douglas-fir / Western hemlock - Sitka spruce forest,0.556113,0.360097,0.656216,0.424915,6.596966,4.301193,0.073342,4.301193,0.107947,0.070319,0.044481,0.027994,1.551779,1.010833,1378654.516,1378654.516,21.25235965,12.29990556
12,Mountain hemlock - Red fir - Lodgepole pine - White pine forest,0.358826,0.207945,0.423414,0.245377,4.282361,2.539441,0.044747,2.539441,0.070022,0.041402,0.027987,0.014646,1.006524,0.595084,833014.1942,833014.1942,15.53966439,5.241540743
14,Black oak woodland,0.107725,0.02694,0.127124,0.031788,1.123112,0.294616,0.02973,0.294616,0.018702,0.004874,0.01284,0.002836,0.269004,0.070077,672091.6726,672091.6726,11.79427193,2.267408568
15,Jeffrey pine - Red fir - White fir / Greenleaf manzanita - Snowbrush forest,1.20277,0.967482,1.419275,1.141624,14.798457,11.970336,0.105446,11.970336,0.241003,0.194807,0.081715,0.0639,3.464482,2.800375,1422024.155,1422024.155,19.6723287,12.50678505
16,Jeffrey pine - Ponderosa pine - Douglas-fir - Black oak forest,0.201814,0.10517,0.23815,0.124093,2.301402,1.210243,0.035919,1.210243,0.037865,0.019884,0.018679,0.00943,0.544239,0.285838,743057.4171,743057.4171,12.30967413,5.867437568
17,Red fir forest,1.157971,0.949504,1.366404,1.120419,14.155121,11.763279,0.110744,11.763279,0.230728,0.191412,0.081184,0.062295,3.316635,2.751477,1671452.137,1671452.137,23.50206894,11.51506925
18,Douglas-fir / Oceanspray forest,0.168461,0.098737,0.198798,0.116508,1.986376,1.182488,0.023433,1.182488,0.032526,0.019325,0.013804,0.007586,0.467619,0.277804,456997.1903,456997.1903,,
19,White fir - Giant sequoia - Sugar pine forest,0.583097,0.343547,0.688037,0.405385,7.015765,4.184926,0.067,4.184926,0.114589,0.068241,0.043937,0.024483,1.647219,0.980987,1219652.706,1219652.706,21.81802025,9.756953614
20,Western juniper / Huckleberry oak forest,0.155023,0.097487,0.182922,0.115035,1.866148,1.178598,0.01772,1.178598,0.030472,0.019248,0.011661,0.007187,0.438116,0.276549,317728.5408,317728.5408,,
21,Lodgepole pine early seral forest,0.181452,0.117837,0.214122,0.139046,2.113417,1.346095,0.027851,1.346095,0.034665,0.022138,0.015584,0.01083,0.498341,0.318241,561946.0499,561946.0499,8.872571295,7.066285629
22,Lodgepole pine forest,0.301149,0.152859,0.355351,0.180369,3.560342,1.740839,0.040927,1.740839,0.05828,0.028635,0.024419,0.014202,0.837858,0.41174,784052.0108,784052.0108,12.10665116,9.432261971
24,Pacific ponderosa pine - Douglas-fir forest,0.134602,0.079535,0.158821,0.093842,1.532461,0.942991,0.024198,0.942991,0.025215,0.015427,0.012528,0.006368,0.362465,0.221829,498534.5154,498534.5154,8.326678956,3.061608002
25,Pinyon - Juniper forest,0.129124,0.019209,0.152365,0.022673,1.455328,0.209939,0.024692,0.209939,0.023975,0.003476,0.012416,0.002025,0.344709,0.049944,522563.0232,522563.0232,8.725579465,1.624855979
27,Ponderosa pine - Two-needle pine - Juniper forest,0.142242,0.094752,0.167846,0.11181,1.68416,1.156795,0.019084,1.156795,0.02756,0.018862,0.011467,0.00668,0.396255,0.271081,348847.7714,348847.7714,5.597237199,1.996701054
28,Ponderosa pine savanna,0.082865,0.052054,0.09779,0.061421,0.983187,0.624048,0.010914,0.624048,0.016094,0.010197,0.006625,0.003982,0.231267,0.14659,200205.1275,200205.1275,3.156568629,1.664206731
30,Turbinella oak - Ceanothus - Mountain mahogany shrubland,0.035112,0.030835,0.041439,0.036379,0.368344,0.314772,0.00945,0.314772,0.006127,0.005262,0.004119,0.003851,0.08814,0.075621,213401.1149,213401.1149,3.74193116,3.736057505
32,Ponderosa pine / Pinyon pine - Juniper forest,0.165755,0.111721,0.195584,0.131833,1.952268,1.347538,0.023264,1.347538,0.031973,0.022003,0.013635,0.008328,0.459659,0.316282,442454.7845,442454.7845,7.86802371,1.661908526
34,Interior Douglas-fir - Ponderosa pine / Gambel oak forest,0.26989,0.165271,0.318481,0.195021,3.141739,1.925672,0.041597,1.925672,0.051535,0.031587,0.02322,0.014172,0.740879,0.454047,827021.8155,827021.8155,13.28294788,8.0426319
36,Live oak - Blue oak woodland,0.084084,0.061813,0.09923,0.072936,0.940593,0.677371,0.016795,0.677371,0.015526,0.011206,0.008285,0.006468,0.223021,0.161076,359336.8635,359336.8635,6.035211142,5.131483323
37,Ponderosa pine - Jeffrey pine forest,0.390249,0.110467,0.460492,0.130347,4.665335,1.264403,0.047853,1.264403,0.076262,0.020787,0.030222,0.01009,1.096282,0.298847,875773.5772,875773.5772,13.13056924,6.501111965
38,Douglas-fir - Madrone / Tanoak forest,0.289497,0.13589,0.341602,0.160346,3.229238,1.554198,0.058734,1.554198,0.053283,0.025555,0.028755,0.012445,0.765973,0.367381,1254317.929,1254317.929,21.223363,8.058233321
39,Sugar pine - Douglas-fir - Ponderosa pine - Oak forest,0.183263,0.07753,0.216252,0.091482,2.034312,0.883736,0.038176,0.883736,0.033593,0.014535,0.018478,0.007189,0.482868,0.208994,825531.9921,825531.9921,,
40,Tobosa - Grama grassland,0.007793,0.007793,0.009199,0.009195,0.079555,0.079559,0.002316,0.079559,0.001326,0.001327,0.00097,0.000977,0.019108,0.019116,52870.98965,52870.98965,0.935576017,0.935576017
41,Idaho fescue - Bluebunch wheatgrass grassland,0.004956,0.004707,0.005858,0.005555,0.050387,0.047799,0.001493,0.047799,0.000836,0.000797,0.00062,0.000598,0.012114,0.011498,34281.13634,34281.13634,0.608104534,0.576857068
42,Trembling aspen / Engelmann spruce forest,0.317513,0.186011,0.374673,0.219496,3.755237,2.184487,0.043006,2.184487,0.061465,0.035797,0.025707,0.015478,0.883677,0.514532,805691.8958,805691.8958,12.69554774,8.203305733
43,Arizona white oak - Silverleaf oak - Emory oak woodland,0.050364,0.025925,0.059423,0.030588,0.554754,0.280758,0.010914,0.280758,0.009165,0.004648,0.005192,0.0028,0.131818,0.066868,238804.6068,238804.6068,4.857436868,1.582589344
44,Scrub oak - Chaparral shrubland,0.097894,0.088313,0.115515,0.10421,1.004582,0.904714,0.028617,0.904714,0.01677,0.015111,0.012099,0.010967,0.241179,0.217259,651846.6824,651846.6824,11.50995253,10.4602793
45,Pine - Oak forest,0.173556,0.118256,0.204786,0.139532,2.042459,1.378123,0.024528,1.378123,0.033453,0.022601,0.014334,0.01013,0.480947,0.324936,483019.2768,483019.2768,7.963561797,3.81473932
46,Chamise chaparral shrubland,0.117513,0.113555,0.138659,0.133998,1.204374,1.163134,0.034506,1.163134,0.020121,0.019431,0.014577,0.014102,0.289194,0.279318,785738.4627,785738.4627,13.89061303,13.45729639
47,Redwood - Tanoak forest,1.572336,1.336808,1.855362,1.577435,19.270678,16.48922,0.145336,16.48922,0.313994,0.26845,0.108848,0.089673,4.513711,3.859048,2196137.299,2196137.299,29.41936261,19.79482263
48,Tanoak - California bay - Madrone forest,0.381883,0.213494,0.450623,0.251922,4.408153,2.490951,0.062591,2.490951,0.072399,0.04085,0.033871,0.018214,1.040695,0.587231,1271575.342,1271575.342,,
49,Creosote bush shrubland,0.007239,0.007194,0.008538,0.008497,0.074508,0.074146,0.002091,0.074146,0.00125,0.001241,0.000886,0.000887,0.01788,0.017791,47478.86176,47478.86176,0.836304353,0.832437236
51,Coastal sage shrubland,0.083794,0.066662,0.098882,0.078655,0.862301,0.683705,0.024254,0.683705,0.014396,0.011419,0.010296,0.008253,0.206925,0.164152,552110.8227,552110.8227,9.731820406,7.854814729
52,Douglas-fir - ponderosa pine forest,0.210711,0.066904,0.248638,0.078949,2.409163,0.792663,0.03685,0.792663,0.039619,0.01298,0.019325,0.005382,0.5695,0.186489,757087.9753,757087.9753,12.53421697,2.607613123
53,Pacific ponderosa pine forest,0.308108,0.184696,0.363571,0.217942,3.634778,2.179586,0.042659,2.179586,0.05952,0.035689,0.025183,0.015082,0.855613,0.513049,842715.0783,842715.0783,,
54,Douglas-fir - White fir - Interior ponderosa pine forest,0.461382,0.227523,0.544435,0.268477,5.416105,2.715818,0.066575,2.715818,0.088755,0.044405,0.038462,0.01774,1.275775,0.638306,1317034.368,1317034.368,23.06578624,7.182196264
55,Western juniper / Sagebrush savanna,0.036842,0.019065,0.043477,0.02249,0.378982,0.197386,0.010677,0.197386,0.006313,0.003293,0.004527,0.002302,0.090954,0.047322,242810.6635,242810.6635,4.288088758,2.15240941
56,Sagebrush shrubland,0.025116,0.025085,0.029625,0.029603,0.256219,0.255955,0.00749,0.255955,0.004286,0.004279,0.003148,0.003144,0.061563,0.061499,170841.7685,170841.7685,3.024232187,3.021071172
57,Wheatgrass - Cheatgrass grassland,0.000794,0.000786,0.000943,0.000937,0.008106,0.008039,0.000236,0.008039,0.000138,0.000133,0.000107,0.000105,0.001959,0.001931,5516.612138,5516.612138,0.097858235,0.097024969
59,Subalpine fir - Engelmann spruce - Douglas-fir - Lodgepole pine forest,1.031105,0.552831,1.216704,0.652342,12.696886,6.751116,0.089337,6.751116,0.206752,0.110059,0.069764,0.038941,2.972155,1.582027,1252273.314,1252273.314,16.34262606,11.55240626
60,Sagebrush Shrubland - Sparse,0.005277,0.005196,0.006218,0.006129,0.054142,0.053278,0.001545,0.053278,0.000897,0.00089,0.000645,0.000647,0.012995,0.012794,35168.0711,35168.0711,0.620784151,0.611732882
61,Whitebark pine / Subalpine fir forest,0.717149,0.462675,0.846235,0.545959,8.668449,5.645425,0.078423,5.645425,0.141502,0.092042,0.052949,0.032721,2.034023,1.323069,1343674.751,1343674.751,19.41411486,9.906330091
63,Showy sedge - Alpine black sedge grassland,0.009985,0.009741,0.011781,0.011493,0.101419,0.098989,0.00302,0.098989,0.001692,0.001654,0.001263,0.001231,0.024383,0.023802,69001.53935,69001.53935,1.22400099,1.194632713
65,Red fescue - Oatgrass grassland,0.014512,0.011704,0.017124,0.013811,0.153649,0.118923,0.003762,0.118923,0.002548,0.001987,0.001659,0.001478,0.036719,0.028596,84729.98249,84729.98249,1.666827519,1.596337383
66,Bluebunch wheatgrass - Bluegrass grassland,0.347483,0.014532,0.41004,0.017146,4.367872,0.162968,0.02118,0.162968,0.070944,0.002687,0.021077,0.001416,1.019784,0.038631,162333.054,162333.054,1.094127785,1.023379104
67,Interior ponderosa pine - Douglas-fir forest,0.45365,0.14455,0.535316,0.170563,5.4167,1.636449,0.056303,1.636449,0.088557,0.026947,0.035321,0.0137,1.273052,0.387371,1032810.029,1032810.029,15.59286316,9.402621181
69,Western Juniper / Sagebrush - Bitterbrush shrubland,0.02504,0.022978,0.029535,0.027112,0.260555,0.235123,0.006948,0.235123,0.004335,0.00393,0.002989,0.002861,0.062418,0.05647,157297.4829,157297.4829,2.777614747,2.754793525
70,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,0.584538,0.395572,0.689755,0.466771,6.934712,4.705826,0.07703,4.705826,0.113471,0.076975,0.04674,0.031276,1.631202,1.106514,1455428.108,1455428.108,22.30929471,14.45536988
85,Black spruce / lichen forest,0.798882,0.735194,0.942682,0.867531,9.920127,9.134368,0.06092,9.134368,0.161371,0.148575,0.051788,0.047515,2.319676,2.135786,1054770.243,1054770.243,,
87,Black spruce / feathermoss forest,0.801637,0.715517,0.945941,0.844301,9.926647,8.912585,0.0639,8.912585,0.161526,0.144922,0.052727,0.045625,2.322022,2.08326,1124984.706,1124984.706,,
88,Black spruce / sphagnum moss forest,2.291747,0.497814,2.704255,0.587417,28.242102,5.814563,0.196376,5.814563,0.459853,0.095341,0.154456,0.042292,6.610415,1.370553,3429202.34,3429202.34,35.23265631,23.52342313
89,Black spruce / cottonsedge woodland,2.5534,2.549403,3.013019,3.008293,31.874263,31.829537,0.177914,31.829537,0.518144,0.517414,0.16094,0.160549,7.448368,7.437757,2849241.002,2849241.002,,
90,White oak - Northern red oak forest,0.185102,0.075761,0.218426,0.089397,2.057715,0.84201,0.038258,0.84201,0.033973,0.0139,0.018584,0.007608,0.488325,0.199825,825691.3648,825691.3648,13.91971947,5.705221019
93,Paper birch - quaking aspen forest,0.287287,0.093285,0.338984,0.110074,3.357814,1.086227,0.042912,1.086227,0.055054,0.017817,0.024345,0.008016,0.791404,0.256144,867431.9113,867431.9113,13.46226628,4.573727617
94,Balsam poplar - quaking aspen forest,0.418838,0.177995,0.494234,0.210041,5.073574,2.162224,0.044697,2.162224,0.082793,0.035273,0.03062,0.01285,1.190165,0.507036,851238.5354,851238.5354,,
95,Willow --  mountain alder shrubland,0.209601,0.087878,0.247325,0.103701,2.512407,0.990656,0.025037,0.990656,0.041052,0.016325,0.016062,0.008446,0.590172,0.234642,492808.6941,492808.6941,,
97,Cottongrass grassland,1.399756,1.398957,1.651726,1.650773,17.45863,17.44854,0.098998,17.44854,0.28384,0.283666,0.088621,0.088582,4.080156,4.0778,1648489.367,1648489.367,,
98,Marsh Labrador tea - lingonberry tundra shrubland,0.170664,0.049585,0.201407,0.05851,2.095827,0.58157,0.015377,0.58157,0.03415,0.009527,0.011716,0.004145,0.490781,0.137006,285298.9133,285298.9133,,
99,Bluejoint reedgrass grassland,0.344684,0.148586,0.406728,0.175326,4.232753,1.780576,0.031028,1.780576,0.068956,0.0291,0.023641,0.011389,0.991179,0.418282,573198.0307,573198.0307,,
100,Altai fescue grassland,0.181409,0.055918,0.21407,0.065983,2.206645,0.637305,0.018451,0.637305,0.035991,0.010489,0.013027,0.005181,0.517363,0.15072,352393.2525,352393.2525,,
101,White spruce forest,0.698654,0.542925,0.824409,0.64065,8.58304,6.720078,0.062533,6.720078,0.139804,0.109357,0.047811,0.035787,2.009772,1.572042,1141205.343,1141205.343,,
103,White spruce - paper birch forest,0.457324,0.210142,0.539643,0.247976,5.50772,2.527626,0.052036,2.527626,0.089945,0.041288,0.034325,0.015861,1.292984,0.593482,1003199.956,1003199.956,,
105,Paper birch - quaking aspen - white spruce forest,0.522496,0.256848,0.616539,0.303088,6.269049,3.093169,0.061796,3.093169,0.102427,0.050514,0.039853,0.019279,1.472427,0.726155,1192386.426,1192386.426,,
107,Pitch pine / Scrub oak forest,0.338614,0.134531,0.399555,0.158743,4.176409,1.647119,0.028657,1.647119,0.067999,0.026846,0.02272,0.009359,0.977423,0.38585,519995.6996,519995.6996,9.724381271,4.984371192
109,Eastern white pine - Northern red oak - Red maple forest,0.192184,0.069261,0.226774,0.081725,2.127171,0.775878,0.040654,0.775878,0.035144,0.012789,0.019535,0.006793,0.505109,0.183933,881620.7175,881620.7175,,
110,American beech - Yellow birch - Sugar maple forest,0.325398,0.079919,0.383969,0.094305,3.812797,0.932086,0.047647,0.932086,0.062501,0.015291,0.027323,0.00683,0.898336,0.219749,923517.1799,923517.1799,14.77744532,3.846130963
114,Virginia pine - Pitch pine -  Shortleaf pine forest,0.124938,0.043396,0.147422,0.051206,1.430466,0.466176,0.021645,0.466176,0.023514,0.00773,0.011402,0.004799,0.338095,0.111164,454742.4429,454742.4429,7.331794679,4.06585266
115,Rhododendron - Blueberry - Mountain laurel shrubland,0.407038,0.241602,0.480296,0.285096,4.688734,2.6218,0.067694,2.6218,0.077041,0.043433,0.036376,0.025998,1.107251,0.624307,1420950.331,1420950.331,,
123,White oak - Northern red oak - Black oak - Hickory forest,0.173858,0.082043,0.205144,0.096809,1.841038,0.881647,0.045113,0.881647,0.03061,0.014623,0.019943,0.009064,0.43993,0.210239,1008557.262,1008557.262,17.61355215,7.677507232
125,Oak - Hickory - Pine - Eastern hemlock forest,0.151931,0.061368,0.179281,0.072418,1.674037,0.691668,0.032895,0.691668,0.027675,0.011394,0.015652,0.005903,0.397762,0.16383,716934.2284,716934.2284,,
